"";"id";"Le";"L";"LX";"LXG1";"LXG2";"DIFN";"MTA.ell";"x";"VZA";"rings";"azimuths";"mask";"lens";"channel";"stretch";"gamma";"zonal";"method";"thd"
"1";"GSAH2998.JPG";2,04;2,04;1;1;1;28,851;77;0,36;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"2";"GSAH2999.JPG";2,21;2,21;1;1;1;25,892;86;0,11;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"120"
"3";"GSAH3000.JPG";2,1;2,1;1;1;1;27,706;86;0,11;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"119"
"4";"GSAH3001.JPG";2,2;2,2;1;1;1;26,095;77;0,36;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"5";"GSAH3002.JPG";2,15;2,15;1;1;1;26,907;64;0,78;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"6";"GSAH3003.JPG";2,04;2,04;1;1;1;28,723;76;0,37;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"7";"GSAH3004.JPG";1,89;1,89;1;1;1;31,53;85;0,12;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"120"
"8";"GSAH3005.JPG";1,74;1,74;1;1;1;34,503;70;0,58;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"9";"GSAH3006.JPG";1,72;1,72;1;1;1;35,003;69;0,6;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"10";"GSAH3007.JPG";1,68;1,68;1;1;1;35,881;85;0,12;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"124"
"11";"GSAH3008.JPG";1,64;1,64;1;1;1;36,78;77;0,36;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"124"
"12";"GSAH3009.JPG";1,69;1,69;1;1;1;35,722;64;0,78;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"124"
"13";"GSAH3010.JPG";1,66;1,66;1;1;1;36,295;18;4,38;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"126"
"14";"GSAH3011.JPG";1,66;1,66;1;1;1;36,196;70;0,58;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"124"
"15";"GSAH3012.JPG";1,7;1,7;1;1;1;35,52;81;0,24;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"126"
"16";"GSAH3013.JPG";1,72;1,72;1;1;1;34,977;81;0,22;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"17";"GSAH3014.JPG";1,68;1,68;1;1;1;35,925;61;0,89;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"18";"GSAH3015.JPG";1,72;1,72;1;1;1;34,894;77;0,36;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"19";"GSAH3016.JPG";1,77;1,77;1;1;1;33,961;67;0,67;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"20";"GSAH3017.JPG";1,77;1,77;1;1;1;34,024;70;0,57;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"21";"GSAH3018.JPG";1,75;1,75;1;1;1;34,335;85;0,12;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"129"
"22";"GSAH3019.JPG";1,67;1,67;1;1;1;36,137;86;0,11;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"129"
"23";"GSAH3020.JPG";1,52;1,52;1;1;1;39,44;63;0,79;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"133"
"24";"GSAH3021.JPG";1,3;1,3;1;1;1;45,162;64;0,78;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"137"
"25";"GSAH3022.JPG";1,19;1,19;1;1;1;48,428;76;0,37;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"137"
"26";"GSAH3023.JPG";1,09;1,09;1;1;1;51,314;67;0,67;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"135"
"27";"GSAH3024.JPG";1,11;1,11;1;1;1;50,668;77;0,34;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"135"
"28";"GSAH3025.JPG";1;1;1;1;1;54,272;64;0,76;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"133"
"29";"GSAH3026.JPG";0,94;0,94;1;1;1;56,491;82;0,22;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"135"
"30";"GSAH3027.JPG";0,85;0,85;1;1;1;59,654;69;0,61;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"135"
"31";"GSAH3028.JPG";0,81;0,81;1;1;1;61,038;78;0,33;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"135"
"32";"GSAH3029.JPG";0,85;0,85;1;1;1;59,672;55;1,15;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"133"
"33";"GSAH3030.JPG";0,9;0,9;1;1;1;57,848;64;0,77;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"133"
"34";"GSAH3031.JPG";0,84;0,84;1;1;1;60,01;78;0,33;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"133"
"35";"GSAH3032.JPG";0,81;0,81;1;1;1;61,09;80;0,27;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"130"
"36";"GSAH3033.JPG";0,8;0,8;1;1;1;61,536;77;0,34;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"130"
"37";"GSAH3034.JPG";0,76;0,76;1;1;1;62,972;70;0,58;"35";1;1;"721_721_718";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"132"
