"";"id";"Le";"L";"LX";"LXG1";"LXG2";"DIFN";"MTA.ell";"x";"VZA";"rings";"azimuths";"mask";"lens";"channel";"stretch";"gamma";"zonal";"method";"thd"
"823";"GSAH1822.JPG";2,88;2,88;1;1;1;17,251;14;5,58;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"824";"GSAH1823.JPG";2,83;2,83;1;1;1;17,77;69;0,6;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"120"
"825";"GSAH1824.JPG";2,77;2,77;1;1;1;18,493;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"124"
"826";"GSAH1825.JPG";2,5;2,5;1;1;1;21,706;61;0,89;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"827";"GSAH1826.JPG";2,29;2,29;1;1;1;24,734;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"130"
"828";"GSAH1827.JPG";2,05;2,05;1;1;1;28,531;66;0,69;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"133"
"829";"GSAH1828.JPG";2,46;2,46;1;1;1;22,251;70;0,58;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"130"
"830";"GSAH1829.JPG";2,15;2,15;1;1;1;26,858;80;0,27;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"130"
"831";"GSAH1830.JPG";2,36;2,36;1;1;1;23,684;80;0,27;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"133"
"832";"GSAH1831.JPG";2,28;2,28;1;1;1;24,828;76;0,37;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"133"
"833";"GSAH1832.JPG";3,27;3,27;1;1;1;13,608;14;5,57;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"110"
"834";"GSAH1833.JPG";3,11;3,11;1;1;1;14,952;70;0,58;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"835";"GSAH1834.JPG";3,03;3,03;1;1;1;15,76;67;0,67;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"111"
"836";"GSAH1835.JPG";3,02;3,02;1;1;1;15,795;67;0,67;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"111"
"837";"GSAH1836.JPG";3,23;3,23;1;1;1;13,938;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"113"
"838";"GSAH1837.JPG";3,32;3,32;1;1;1;13,143;69;0,59;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"839";"GSAH1838.JPG";2,78;2,78;1;1;1;18,364;69;0,6;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"119"
"840";"GSAH1839.JPG";2,95;2,95;1;1;1;16,526;64;0,76;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"841";"GSAH1840.JPG";2,68;2,68;1;1;1;19,497;69;0,6;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"842";"GSAH1841.JPG";2,97;2,97;1;1;1;16,331;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"843";"GSAH1842.JPG";3,21;3,21;1;1;1;14,078;77;0,34;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"111"
"844";"GSAH1843.JPG";2,85;2,85;1;1;1;17,603;64;0,78;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"845";"GSAH1844.JPG";2,75;2,75;1;1;1;18,626;81;0,24;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"846";"GSAH1845.JPG";2,9;2,9;1;1;1;17,01;64;0,78;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"847";"GSAH1846.JPG";3,57;3,57;1;1;1;11,341;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"111"
"848";"GSAH1847.JPG";3,4;3,4;1;1;1;12,579;69;0,6;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"111"
"849";"GSAH1848.JPG";3,03;3,03;1;1;1;15,763;63;0,79;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"850";"GSAH1849.JPG";3,11;3,11;1;1;1;14,978;77;0,34;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"851";"GSAH1850.JPG";2,66;2,66;1;1;1;19,675;66;0,69;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"123"
"852";"GSAH1851.JPG";2,86;2,86;1;1;1;17,496;67;0,67;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"123"
"853";"GSAH1852.JPG";2,93;2,93;1;1;1;16,699;77;0,36;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"124"
"854";"GSAH1853.JPG";3;3;1;1;1;16,007;67;0,67;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"855";"GSAH1854.JPG";3,17;3,17;1;1;1;14,406;45;1,62;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"856";"GSAH1855.JPG";2,99;2,99;1;1;1;16,143;69;0,62;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"116"
"857";"GSAH1856.JPG";3,18;3,18;1;1;1;14,397;86;0,11;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"116"
"858";"GSAH1857.JPG";3,06;3,06;1;1;1;15,407;69;0,6;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"120"
