"";"SourceFile";"FileName";"DateTimeOriginal";"GPSTimeStamp";"GPSDateTime";"GPSLatitudeRef";"GPSLongitudeRef";"GPSAltitudeRef";"GPSDateStamp";"GPSAltitude";"GPSLatitude";"GPSLongitude";"GPSPosition"
"1";"All_Photos/GSAH1000.JPG";"GSAH1000.JPG";"2022:02:16 14:31:34";"22:29:44";"2022:02:16 22:29:44Z";"N";"W";1;"2022:02:16";-17,719;35,3119482;-120,8607635;"35.3119482 -120.8607635"
"2";"All_Photos/GSAH1001.JPG";"GSAH1001.JPG";"2022:02:16 14:31:36";"22:29:46";"2022:02:16 22:29:46Z";"N";"W";1;"2022:02:16";-17,716;35,3119499;-120,860798099972;"35.3119499 -120.860798099972"
"3";"All_Photos/GSAH1002.JPG";"GSAH1002.JPG";"2022:02:16 14:31:38";"22:29:48";"2022:02:16 22:29:48Z";"N";"W";1;"2022:02:16";-17,674;35,3119528;-120,8608265;"35.3119528 -120.8608265"
"4";"All_Photos/GSAH1003.JPG";"GSAH1003.JPG";"2022:02:16 14:31:40";"22:29:50";"2022:02:16 22:29:50Z";"N";"W";1;"2022:02:16";-16,788;35,3119549;-120,8608392;"35.3119549 -120.8608392"
"5";"All_Photos/GSAH1004.JPG";"GSAH1004.JPG";"2022:02:16 14:31:42";"22:29:52";"2022:02:16 22:29:52Z";"N";"W";1;"2022:02:16";-16,98;35,311953;-120,8608665;"35.311953 -120.8608665"
"6";"All_Photos/GSAH1005.JPG";"GSAH1005.JPG";"2022:02:16 14:31:44";"22:29:54";"2022:02:16 22:29:54Z";"N";"W";1;"2022:02:16";-16,918;35,3119493;-120,860899099972;"35.3119493 -120.860899099972"
"7";"All_Photos/GSAH1006.JPG";"GSAH1006.JPG";"2022:02:16 14:31:46";"22:29:56";"2022:02:16 22:29:56Z";"N";"W";1;"2022:02:16";-17,265;35,3119399999722;-120,8609234;"35.3119399999722 -120.8609234"
"8";"All_Photos/GSAH1007.JPG";"GSAH1007.JPG";"2022:02:16 14:31:48";"22:29:58";"2022:02:16 22:29:58Z";"N";"W";1;"2022:02:16";-18,171;35,3119313999722;-120,8609356;"35.3119313999722 -120.8609356"
"9";"All_Photos/GSAH1008.JPG";"GSAH1008.JPG";"2022:02:16 14:31:50";"22:30:00";"2022:02:16 22:30:00Z";"N";"W";1;"2022:02:16";-17,859;35,3119259999722;-120,8609375;"35.3119259999722 -120.8609375"
"10";"All_Photos/GSAH1009.JPG";"GSAH1009.JPG";"2022:02:16 14:31:52";"22:30:02";"2022:02:16 22:30:02Z";"N";"W";1;"2022:02:16";-18,372;35,3119182;-120,8609591;"35.3119182 -120.8609591"
"11";"All_Photos/GSAH1010.JPG";"GSAH1010.JPG";"2022:02:16 14:31:54";"22:30:04";"2022:02:16 22:30:04Z";"N";"W";1;"2022:02:16";-18,594;35,3119219;-120,860984299972;"35.3119219 -120.860984299972"
"12";"All_Photos/GSAH1011.JPG";"GSAH1011.JPG";"2022:02:16 14:31:56";"22:30:06";"2022:02:16 22:30:06Z";"N";"W";1;"2022:02:16";-19,169;35,3119291;-120,861014199972;"35.3119291 -120.861014199972"
"13";"All_Photos/GSAH1012.JPG";"GSAH1012.JPG";"2022:02:16 14:31:58";"22:30:08";"2022:02:16 22:30:08Z";"N";"W";1;"2022:02:16";-19,223;35,3119283999722;-120,8610508;"35.3119283999722 -120.8610508"
"14";"All_Photos/GSAH1013.JPG";"GSAH1013.JPG";"2022:02:16 14:32:00";"22:30:10";"2022:02:16 22:30:10Z";"N";"W";1;"2022:02:16";-18,873;35,3119263999722;-120,8610824;"35.3119263999722 -120.8610824"
