"";"Pic_Name";"eff_LAI";"act_LAI";"Gap_Frac";"Mean_Leaf_Angle";"Rings";"Azimuths"
"1300";"GSAH2299.JPG";2,35;2,35;23,763;68;1;1
"1301";"GSAH2300.JPG";2,54;2,54;21,24;78;1;1
"1302";"GSAH2301.JPG";2,73;2,73;18,842;69;1;1
"1303";"GSAH2302.JPG";2,72;2,72;19,006;22;1;1
"1304";"GSAH2303.JPG";2,52;2,52;21,421;64;1;1
"1305";"GSAH2304.JPG";2,54;2,54;21,198;79;1;1
"1306";"GSAH2305.JPG";2,45;2,45;22,442;67;1;1
"1307";"GSAH2306.JPG";1,98;1,98;29,783;62;1;1
"1308";"GSAH2307.JPG";3,07;3,07;15,359;86;1;1
"1309";"GSAH2308.JPG";2,58;2,58;20,748;69;1;1
"1310";"GSAH2309.JPG";2,89;2,89;17,089;70;1;1
"1311";"GSAH2310.JPG";2,9;2,9;17,08;68;1;1
"1312";"GSAH2311.JPG";3,09;3,09;15,153;69;1;1
"1313";"GSAH2312.JPG";2,84;2,84;17,647;64;1;1
"1314";"GSAH2313.JPG";2,92;2,92;16,83;67;1;1
"1315";"GSAH2314.JPG";2,65;2,65;19,859;70;1;1
"1316";"GSAH2315.JPG";2,76;2,76;18,558;69;1;1
"1317";"GSAH2316.JPG";3,14;3,14;14,717;77;1;1
"1318";"GSAH2317.JPG";3,16;3,16;14,573;70;1;1
"1319";"GSAH2318.JPG";3,06;3,06;15,475;70;1;1
"1320";"GSAH2319.JPG";3,38;3,38;12,671;14;1;1
"1321";"GSAH2320.JPG";3,75;3,75;10,153;66;1;1
"1322";"GSAH2321.JPG";3,04;3,04;15,651;70;1;1
"1323";"GSAH2322.JPG";3,14;3,14;14,68;82;1;1
"1324";"GSAH2323.JPG";3,34;3,34;13,048;81;1;1
"1325";"GSAH2324.JPG";3,23;3,23;13,957;78;1;1
"1326";"GSAH2325.JPG";3,28;3,28;13,512;78;1;1
"1327";"GSAH2326.JPG";3,14;3,14;14,714;70;1;1
"1328";"GSAH2327.JPG";3,21;3,21;14,07;74;1;1
"1329";"GSAH2328.JPG";3,12;3,12;14,882;63;1;1
"1330";"GSAH2329.JPG";3,65;3,65;10,794;62;1;1
"1331";"GSAH2330.JPG";3,8;3,8;9,805;67;1;1
"1332";"GSAH2331.JPG";3;3;16,045;69;1;1
"1333";"GSAH2332.JPG";2,58;2,58;20,671;78;1;1
"1334";"GSAH2333.JPG";2,81;2,81;18,035;70;1;1
"1335";"GSAH2334.JPG";3,01;3,01;15,965;78;1;1
"1336";"GSAH2335.JPG";2,82;2,82;17,863;69;1;1
"1337";"GSAH2336.JPG";2,73;2,73;18,87;81;1;1
"1338";"GSAH2337.JPG";2,99;2,99;16,124;64;1;1
"1339";"GSAH2338.JPG";3,07;3,07;15,392;86;1;1
"1340";"GSAH2339.JPG";2,78;2,78;18,347;69;1;1
"1341";"GSAH2340.JPG";3,12;3,12;14,931;64;1;1
